序号	页数	商品ID	一口价	促销价	付款数/收货数	下架时间	商品网址	商品标题	首图地址	卖家旺旺	店铺地址
1	1	527253962672	1705.00	1687.95	4	2017/3/10 10:14:46	http://item.taobao.com/item.htm?id=527253962672	德国阳光蓄电池A412/100A 12V100AH 免维护原装正品质保三年包邮	http://g.search.alicdn.com/img/bao/uploaded/i4/i2/2811187045/TB25Z40X91I.eBjy0FjXXabfXXa_!!2811187045.jpg	专业ups电源蓄电池	
2	1	41329936051	900.00	900.00	1	2017/3/4 13:24:08	http://item.taobao.com/item.htm?id=41329936051	德国阳光蓄电池12V50AH 正品 德国阳光蓄电池A412/50A 原装正品	http://g.search1.alicdn.com/img/bao/uploaded/i4/i4/TB15vESFFXXXXXvXFXXXXXXXXXX_!!0-item_pic.jpg	倪彩红2013	
3	1	545755384346	699.00	699.00	1	2017/3/6 09:36:11	http://item.taobao.com/item.htm?id=545755384346	德国阳光蓄电池12V40AH 原装正品 A512/40A 全国包邮 质保三年	http://g.search1.alicdn.com/img/bao/uploaded/i4/i4/1872754815/TB26sj7gJBopuFjSZPcXXc9EpXa_!!1872754815.jpg	倪彩红2013	
4	1	537020183602	1160.00	1160.00	2	2017/3/7 22:09:27	http://item.taobao.com/item.htm?id=537020183602	德国阳光蓄电池A4 12/65G6胶体电池12V 65AH正品ups直流屏专用	http://g.search2.alicdn.com/img/bao/uploaded/i4/i1/TB1DZ1pOpXXXXa9XFXXXXXXXXXX_!!0-item_pic.jpg	仝伯乐	
5	1	524444098328	1300.00	1300.00	2	2017/3/6 10:00:55	http://item.taobao.com/item.htm?id=524444098328	原装进口德国阳光蓄电池Sonnenschein A412/65G6 12V65AH A4 12	http://g.search.alicdn.com/img/bao/uploaded/i4/i4/TB1bEF_KFXXXXaXXXXXXXXXXXXX_!!0-item_pic.jpg	森雷特新能源科技	
6	1	539884703518	2000.00	1900.00	2	2017/3/7 08:42:33	http://item.taobao.com/item.htm?id=539884703518	德国阳光A412/120A（12V120AH）蓄电池 UPS 太阳能直流屏专用特价	http://g.search.alicdn.com/img/bao/uploaded/i4/i2/2998540365/TB2V_cmacgd61BjSZFEXXaBjVXa_!!2998540365.jpg	销售品牌蓄电池	
7	1	527276112799	650.00	643.50	2	2017/3/3 17:05:27	http://item.taobao.com/item.htm?id=527276112799	德国阳光蓄电池A4 12/32 G6 12V32AH储能蓄电池电力通讯 直流屏等	http://g.search1.alicdn.com/img/bao/uploaded/i4/i1/TB1KhgkLFXXXXaGXFXXXXXXXXXX_!!0-item_pic.jpg	专业ups电源蓄电池	
8	1	520896391589	380.00	380.00	1	2017/3/9 13:42:24	http://item.taobao.com/item.htm?id=520896391589	德国(Sonnenschein)阳光蓄电池A512/6.5S胶体蓄电池12V6.5AH进口	http://g.search2.alicdn.com/img/bao/uploaded/i4/i3/TB14KifIFXXXXazapXXXXXXXXXX_!!0-item_pic.jpg	daixindon	
9	1	543445411541	1800.00	1800.00	2	2017/3/6 09:06:39	http://item.taobao.com/item.htm?id=543445411541	德国阳光蓄电池12V65AH/A412/65G6胶体蓄电池 正品保障 全国包邮	http://g.search2.alicdn.com/img/bao/uploaded/i4/i4/3031456231/TB24m8ngtBopuFjSZPcXXc9EpXa_!!3031456231.jpg	蓄电池代宁	
10	1	524751859941	1800.00	1800.00	1	2017/3/5 10:56:53	http://item.taobao.com/item.htm?id=524751859941	原装德国阳光蓄电池 A412/100A 12V100AH A4 12 100F10阳光蓄电池	http://g.search2.alicdn.com/img/bao/uploaded/i4/i2/TB1oNaTJVXXXXcvXFXXXXXXXXXX_!!0-item_pic.jpg	曹先涛	
